date,P_Kweek_47_Kday_49_ETE_70_ORD_69_EXT_83_E2Ekor_83_EXTkor_70_DIFF_23
Tue Feb 10 18:00:00 UTC 2026,-2.949930164114331E-4
Tue Feb 10 19:00:00 UTC 2026,-2.947367436524168E-4
Tue Feb 10 20:00:00 UTC 2026,-2.954731381254053E-4
Tue Feb 10 21:00:00 UTC 2026,-2.960991669576495E-4
Tue Feb 10 22:00:00 UTC 2026,-2.954881029580486E-4
Tue Feb 10 23:00:00 UTC 2026,-2.951389235297052E-4
Wed Feb 11 00:00:00 UTC 2026,-2.9521125355414776E-4
Wed Feb 11 01:00:00 UTC 2026,-2.9505911108894097E-4
Wed Feb 11 02:00:00 UTC 2026,-2.947685439217838E-4
Wed Feb 11 03:00:00 UTC 2026,-2.9506409936648877E-4
Wed Feb 11 04:00:00 UTC 2026,-2.9502793435426747E-4
Wed Feb 11 05:00:00 UTC 2026,-2.949474983788098E-4
Wed Feb 11 06:00:00 UTC 2026,-2.9487516835436723E-4
Wed Feb 11 07:00:00 UTC 2026,-2.949387688931012E-4
Wed Feb 11 08:00:00 UTC 2026,-2.9526550107247964E-4
Wed Feb 11 09:00:00 UTC 2026,-2.955828802314561E-4
Wed Feb 11 10:00:00 UTC 2026,-2.956389983538684E-4
Wed Feb 11 11:00:00 UTC 2026,-2.9563712774978803E-4
Wed Feb 11 12:00:00 UTC 2026,-2.9563151593754673E-4
Wed Feb 11 13:00:00 UTC 2026,-2.960156133087245E-4
Wed Feb 11 14:00:00 UTC 2026,-2.9626502718611267E-4
Wed Feb 11 15:00:00 UTC 2026,-2.963336160023944E-4
Wed Feb 11 16:00:00 UTC 2026,-2.962407093330673E-4
Wed Feb 11 17:00:00 UTC 2026,-2.9635107497381154E-4
Wed Feb 11 18:00:00 UTC 2026,-2.962064149249264E-4
Wed Feb 11 19:00:00 UTC 2026,-2.9624943881877586E-4
Wed Feb 11 20:00:00 UTC 2026,-2.963710280840026E-4
Wed Feb 11 21:00:00 UTC 2026,-2.967688432184367E-4
Wed Feb 11 22:00:00 UTC 2026,-2.9648638200229464E-4
Wed Feb 11 23:00:00 UTC 2026,-2.963149099615903E-4
Thu Feb 12 00:00:00 UTC 2026,-2.9629183917793186E-4
Thu Feb 12 01:00:00 UTC 2026,-2.960748491046042E-4
Thu Feb 12 02:00:00 UTC 2026,-2.958566119618895E-4
Thu Feb 12 03:00:00 UTC 2026,-2.957487404599192E-4
Thu Feb 12 04:00:00 UTC 2026,-2.9568888112934603E-4
Thu Feb 12 05:00:00 UTC 2026,-2.957163166558587E-4
Thu Feb 12 06:00:00 UTC 2026,-2.956988576844416E-4
Thu Feb 12 07:00:00 UTC 2026,-2.9572442260687384E-4
Thu Feb 12 08:00:00 UTC 2026,-2.9591834189654314E-4
Thu Feb 12 09:00:00 UTC 2026,-2.960187309821919E-4
Thu Feb 12 10:00:00 UTC 2026,-2.960181074474984E-4
Thu Feb 12 11:00:00 UTC 2026,-2.9601062503117675E-4
Thu Feb 12 12:00:00 UTC 2026,-2.9610477876989075E-4
Thu Feb 12 13:00:00 UTC 2026,-2.957256696762608E-4
Thu Feb 12 14:00:00 UTC 2026,-2.961035317005038E-4
Thu Feb 12 15:00:00 UTC 2026,-2.962226268269566E-4
Thu Feb 12 16:00:00 UTC 2026,-2.961353319698708E-4
Thu Feb 12 17:00:00 UTC 2026,-2.960293310719809E-4
Thu Feb 12 18:00:00 UTC 2026,-2.9602309572504613E-4
Thu Feb 12 19:00:00 UTC 2026,-2.9600376614954857E-4
Thu Feb 12 20:00:00 UTC 2026,-2.961839676759615E-4
Thu Feb 12 21:00:00 UTC 2026,-2.9689167955305036E-4
Thu Feb 12 22:00:00 UTC 2026,-2.9632738065545966E-4
Thu Feb 12 23:00:00 UTC 2026,-2.9600064847608125E-4
Fri Feb 13 00:00:00 UTC 2026,-2.959906719209857E-4
Fri Feb 13 01:00:00 UTC 2026,-2.954862323539682E-4
Fri Feb 13 02:00:00 UTC 2026,-2.953596548111937E-4
Fri Feb 13 03:00:00 UTC 2026,-2.9534094877038957E-4
Fri Feb 13 04:00:00 UTC 2026,-2.9557040953758667E-4
Fri Feb 13 05:00:00 UTC 2026,-2.957262932109543E-4
Fri Feb 13 06:00:00 UTC 2026,-2.956539631865117E-4
Fri Feb 13 07:00:00 UTC 2026,-2.957119519130044E-4
Fri Feb 13 08:00:00 UTC 2026,-2.958179528108944E-4
Fri Feb 13 09:00:00 UTC 2026,-2.9599503666383995E-4
Fri Feb 13 10:00:00 UTC 2026,-2.9612286127600143E-4
Fri Feb 13 11:00:00 UTC 2026,-2.960673666882825E-4
Fri Feb 13 12:00:00 UTC 2026,-2.963248865166858E-4
Fri Feb 13 13:00:00 UTC 2026,-2.9650197036963134E-4
Fri Feb 13 14:00:00 UTC 2026,-2.965531002144959E-4
Fri Feb 13 15:00:00 UTC 2026,-2.9632987479423354E-4
Fri Feb 13 16:00:00 UTC 2026,-2.96603606524667E-4
Fri Feb 13 17:00:00 UTC 2026,-2.968137377163665E-4
Fri Feb 13 18:00:00 UTC 2026,-2.964103107696912E-4
Fri Feb 13 19:00:00 UTC 2026,-2.962687683942735E-4
Fri Feb 13 20:00:00 UTC 2026,-2.970475632264179E-4
Fri Feb 13 21:00:00 UTC 2026,-2.970475632264179E-4
Fri Feb 13 22:00:00 UTC 2026,-2.970475632264179E-4
Fri Feb 13 23:00:00 UTC 2026,-2.970475632264179E-4
Sat Feb 14 00:00:00 UTC 2026,-2.970475632264179E-4
Sat Feb 14 01:00:00 UTC 2026,-2.970475632264179E-4
Sat Feb 14 02:00:00 UTC 2026,-2.970475632264179E-4
Sat Feb 14 03:00:00 UTC 2026,-2.970475632264179E-4
Sat Feb 14 04:00:00 UTC 2026,-2.970475632264179E-4
