date,P_Kweek_-5_Kday_0_ETE_61_ORD_61_EXT_75_E2Ekor_70_EXTkor_60_DIFF_28,a,b,c,d,e
Sat Apr 04 00:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 01:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 02:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 03:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 04:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 05:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 06:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 07:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 08:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 09:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 10:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 11:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 12:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 13:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 14:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 15:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 16:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 17:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 18:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 19:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 20:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 21:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 22:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sat Apr 04 23:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sun Apr 05 00:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sun Apr 05 01:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sun Apr 05 02:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
Sun Apr 05 03:00:00 UTC 2026,0.954,67.96241000000009,null,null,null,null
