date,P_Kweek_-47_Kday_7_ETE_44_ORD_48_EXT_56_E2Ekor_60_EXTkor_49_DIFF_11099,a,b,c,d,e,f,g,h,i,j
Fri May 29 07:00:00 UTC 2026,-1478.3651422728217,1.5482099999208003,null,null,null,null,436.3259877776986,536.3259877776985,null,null
Fri May 29 08:00:00 UTC 2026,-1483.020682045545,45.5482099999208,null,null,null,null,417.3398766665875,517.3398766665875,null,null
Fri May 29 09:00:00 UTC 2026,-1514.057613863723,-138.4517900000792,null,null,null,null,398.35376555547634,498.35376555547634,null,null
Fri May 29 10:00:00 UTC 2026,-1500.0909945455187,-210.4517900000792,null,null,null,null,379.36765444436526,479.36765444436526,null,null
Fri May 29 11:00:00 UTC 2026,-1532.6797729546163,-168.4517900000792,null,null,null,null,360.3815433332541,460.3815433332541,null,null
Fri May 29 12:00:00 UTC 2026,-1518.7131536364463,-168.4517900000792,null,null,null,null,341.39543222214303,441.395432222143,null,null
Fri May 29 13:00:00 UTC 2026,-1521.8168468182503,-216.4517900000792,null,null,null,null,322.4093211110319,422.4093211110319,null,null
Fri May 29 14:00:00 UTC 2026,-1503.1946877273572,-427.4517900000792,null,null,null,null,303.4232099999208,403.4232099999208,null,null
Fri May 29 15:00:00 UTC 2026,-1510.9539206818845,-371.4517900000792,null,null,null,null,284.43709888880966,384.43709888880966,null,null
Fri May 29 16:00:00 UTC 2026,-1546.6463922728205,-380.4517900000792,null,null,null,null,265.4509877776986,365.4509877776986,null,null
Fri May 29 17:00:00 UTC 2026,-1608.720255909177,-495.4517900000792,null,null,null,null,246.46487666658746,346.4648766665875,null,null
Fri May 29 18:00:00 UTC 2026,-1753.041988863702,-450.4517900000792,null,null,null,null,227.47876555547634,327.47876555547634,null,null
Fri May 29 19:00:00 UTC 2026,-1780.9752275000762,-454.4517900000792,null,null,null,null,208.49265444436523,308.49265444436526,null,null
Fri May 29 20:00:00 UTC 2026,-1867.8786365910028,-467.4517900000792,null,null,null,null,189.50654333325411,289.5065433332541,null,null
Fri May 29 21:00:00 UTC 2026,-2023.0632956818938,-467.4517900000792,null,null,null,null,170.520432222143,270.520432222143,null,null
Fri May 29 22:00:00 UTC 2026,-2035.4780684091788,-467.4517900000792,null,null,null,null,151.5343211110319,251.5343211110319,null,null
Fri May 29 23:00:00 UTC 2026,-2139.451790000079,-467.4517900000792,null,null,null,null,132.5482099999208,232.5482099999208,null,null
Sat May 30 00:00:00 UTC 2026,-2089.792699090973,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 01:00:00 UTC 2026,-1681.657045681899,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 02:00:00 UTC 2026,-1661.4830400000867,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 03:00:00 UTC 2026,-1726.660596818247,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 04:00:00 UTC 2026,-1649.0682672728017,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 05:00:00 UTC 2026,-1898.9155684091809,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 06:00:00 UTC 2026,-1912.8821877273508,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 07:00:00 UTC 2026,-1942.3672729546097,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 08:00:00 UTC 2026,-1912.8821877273508,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 09:00:00 UTC 2026,-1922.1932672727974,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 10:00:00 UTC 2026,-1922.1932672727974,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 11:00:00 UTC 2026,-1939.2635797728058,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 12:00:00 UTC 2026,-1939.2635797728058,-467.4517900000792,null,null,null,null,null,null,null,null
Sat May 30 13:00:00 UTC 2026,-1939.2635797728058,-467.4517900000792,null,null,null,null,null,null,null,null
