date,P_Kweek_-2_Kday_-4_ETE_60_ORD_61_EXT_72_E2Ekor_69_EXTkor_59_DIFF_26,a,b,c,d,e
Thu Apr 09 13:00:00 UTC 2026,0.70392,820.9148099999875,null,null,null,749.8272187591116
Thu Apr 09 14:00:00 UTC 2026,0.70409,975.9148099999875,null,null,null,752.5024012408634
Thu Apr 09 15:00:00 UTC 2026,0.70409,981.9148099999875,null,null,null,755.1775837226153
Thu Apr 09 16:00:00 UTC 2026,0.70345,847.9148099999875,null,null,null,757.8527662043671
Thu Apr 09 17:00:00 UTC 2026,0.70396,997.9148099999875,null,null,null,760.5279486861189
Thu Apr 09 18:00:00 UTC 2026,0.70292,870.9148099999875,null,null,null,763.2031311678707
Thu Apr 09 19:00:00 UTC 2026,0.70276,912.9148099999875,null,null,null,765.8783136496224
Thu Apr 09 20:00:00 UTC 2026,0.70332,818.9148099999875,null,null,null,768.5534961313745
Thu Apr 09 21:00:00 UTC 2026,0.70311,777.9148099999875,null,null,null,771.2286786131261
Thu Apr 09 22:00:00 UTC 2026,0.70454,1124.9148099999875,null,null,null,773.903861094878
Thu Apr 09 23:00:00 UTC 2026,0.70407,1079.9148099999875,null,null,null,776.5790435766298
Fri Apr 10 00:00:00 UTC 2026,0.70516,1322.9148099999875,null,null,null,779.2542260583816
Fri Apr 10 01:00:00 UTC 2026,0.70606,1236.9148099999875,null,null,null,781.9294085401334
Fri Apr 10 02:00:00 UTC 2026,0.70841,1213.9148099999875,null,null,null,784.6045910218853
Fri Apr 10 03:00:00 UTC 2026,0.70859,1230.9148099999875,null,null,null,787.2797735036371
Fri Apr 10 04:00:00 UTC 2026,0.709,1444.9148099999875,null,null,null,789.954955985389
Fri Apr 10 05:00:00 UTC 2026,0.70794,1332.9148099999875,null,null,null,792.6301384671408
Fri Apr 10 06:00:00 UTC 2026,0.70851,1362.9148099999875,null,null,null,795.3053209488926
Fri Apr 10 07:00:00 UTC 2026,0.70837,1268.9148099999875,null,null,null,797.9805034306444
Fri Apr 10 08:00:00 UTC 2026,0.70825,1225.9148099999875,null,null,null,800.6556859123963
Fri Apr 10 09:00:00 UTC 2026,0.70799,1215.9148099999875,null,null,null,803.3308683941481
Fri Apr 10 10:00:00 UTC 2026,0.70752,1116.9148099999875,null,null,null,806.0060508758999
Fri Apr 10 11:00:00 UTC 2026,0.70748,1390.9148099999875,null,null,null,808.6812333576518
Fri Apr 10 12:00:00 UTC 2026,0.7076,1295.9148099999875,null,null,null,811.3564158394036
Fri Apr 10 13:00:00 UTC 2026,0.70691,1301.9148099999875,null,null,null,814.0315983211553
Fri Apr 10 14:00:00 UTC 2026,0.70699,1091.9148099999875,null,null,null,816.7067808029071
Fri Apr 10 15:00:00 UTC 2026,0.70671,1096.9148099999875,null,null,null,819.381963284659
