date,P_Kweek_-85_Kday_0_ETE_67_ORD_69_EXT_84_E2Ekor_82_EXTkor_66_DIFF_26,a,b,c,d,e
Fri Apr 10 13:00:00 UTC 2026,0.55895,907.9180000000051,null,null,null,1680.2290465116332
Fri Apr 10 14:00:00 UTC 2026,0.55877,815.9180000000051,null,null,null,1675.9354418604703
Fri Apr 10 15:00:00 UTC 2026,0.55856,1233.9180000000051,null,null,null,1671.6418372093076
Fri Apr 10 16:00:00 UTC 2026,0.55884,831.9180000000051,null,null,null,1667.348232558145
Fri Apr 10 17:00:00 UTC 2026,0.55814,834.9180000000051,null,null,null,1663.054627906982
Fri Apr 10 18:00:00 UTC 2026,0.55771,915.9180000000051,null,null,null,1658.761023255819
Fri Apr 10 19:00:00 UTC 2026,0.55778,945.9180000000051,null,null,null,1654.4674186046561
Fri Apr 10 20:00:00 UTC 2026,0.55824,853.9180000000051,null,null,null,1650.1738139534934
Fri Apr 10 21:00:00 UTC 2026,0.5579,853.9180000000051,null,null,null,1645.8802093023307
Fri Apr 10 22:00:00 UTC 2026,0.55785,853.9180000000051,null,null,null,1641.5866046511678
Fri Apr 10 23:00:00 UTC 2026,0.55786,853.9180000000051,null,null,null,1637.2930000000051
Sat Apr 11 00:00:00 UTC 2026,0.55715,853.9180000000051,null,null,null,1632.9993953488424
Sat Apr 11 01:00:00 UTC 2026,0.55911,853.9180000000051,null,null,null,1628.7057906976795
Sat Apr 11 02:00:00 UTC 2026,0.55847,853.9180000000051,null,null,null,1624.4121860465168
Sat Apr 11 03:00:00 UTC 2026,0.55832,853.9180000000051,null,null,null,1620.1185813953539
Sat Apr 11 04:00:00 UTC 2026,0.55857,853.9180000000051,null,null,null,1615.8249767441912
Sat Apr 11 05:00:00 UTC 2026,0.55835,853.9180000000051,null,null,null,1611.5313720930283
Sat Apr 11 06:00:00 UTC 2026,0.55851,853.9180000000051,null,null,null,1607.2377674418653
Sat Apr 11 07:00:00 UTC 2026,0.55741,853.9180000000051,null,null,null,1602.9441627907026
Sat Apr 11 08:00:00 UTC 2026,0.55762,853.9180000000051,null,null,null,1598.65055813954
Sat Apr 11 09:00:00 UTC 2026,0.55769,853.9180000000051,null,null,null,1594.356953488377
Sat Apr 11 10:00:00 UTC 2026,0.55767,853.9180000000051,null,null,null,1590.0633488372146
