date,P_Kweek_78_Kday_0_ETE_59_ORD_55_EXT_60_E2Ekor_59_EXTkor_57_DIFF_14385,a,b,c,d,e,f,g,h,i,j
Thu May 28 12:00:00 UTC 2026,2008.7314851837025,119.72399999992922,-837.276000000071,null,null,null,null,null,null,null
Thu May 28 13:00:00 UTC 2026,1918.2909555684323,770.7239999999292,-802.026000000071,null,null,null,null,null,null,null
Thu May 28 14:00:00 UTC 2026,2194.4198651637826,848.7239999999292,-766.7760000000708,null,null,null,null,null,null,1748.7239999999292
Thu May 28 15:00:00 UTC 2026,1985.3688049055245,774.7239999999292,-731.5260000000706,null,null,null,null,null,null,1748.6470769230061
Thu May 28 16:00:00 UTC 2026,1880.775882429418,776.7239999999292,-696.2760000000708,null,null,null,null,null,null,1748.570153846083
Thu May 28 17:00:00 UTC 2026,1536.5357741769071,786.7239999999292,-661.0260000000708,null,null,null,null,null,null,1748.4932307691602
Thu May 28 18:00:00 UTC 2026,1557.3375452707007,842.7239999999292,-625.776000000071,null,null,null,null,null,null,1748.4163076922368
Thu May 28 19:00:00 UTC 2026,1472.7826139562294,816.7239999999292,-590.5260000000706,null,null,null,null,null,null,1748.339384615314
Thu May 28 20:00:00 UTC 2026,1246.7037540336496,856.7239999999292,-555.2760000000708,null,null,null,null,null,null,1748.2624615383907
Thu May 28 21:00:00 UTC 2026,1407.7714632591465,660.7239999999292,-520.0260000000708,null,null,null,null,null,null,1748.1855384614678
Thu May 28 22:00:00 UTC 2026,1436.435674831239,733.7239999999292,-484.776000000071,null,null,null,null,null,null,1748.1086153845445
Thu May 28 23:00:00 UTC 2026,937.6424508923606,751.7239999999292,-449.5260000000708,null,null,null,null,null,null,1748.0316923076216
Fri May 29 00:00:00 UTC 2026,1406.4236163199766,1053.7239999999292,-414.27600000007055,null,null,null,null,null,null,1747.9547692306985
Fri May 29 01:00:00 UTC 2026,513.025736836588,898.7239999999292,-379.02600000007055,null,null,null,null,null,null,1747.8778461537754
Fri May 29 02:00:00 UTC 2026,651.674258641211,905.7239999999292,-343.7760000000708,null,null,null,null,null,null,1747.8009230768523
Fri May 29 03:00:00 UTC 2026,119.72399999992922,847.7239999999292,-308.526000000071,null,null,null,1447.7239999999292,1547.7239999999292,null,1747.7239999999292
Fri May 29 04:00:00 UTC 2026,297.14558542009956,944.7239999999292,-273.276000000071,null,null,null,1502.7239999999292,1602.7239999999292,null,null
Fri May 29 05:00:00 UTC 2026,531.2665987461246,1180.7239999999292,-238.02600000007078,null,null,null,1557.7239999999292,1657.7239999999294,null,null
Fri May 29 06:00:00 UTC 2026,479.01506573938985,1119.7239999999292,-202.77600000007055,null,null,null,1612.7239999999292,1712.7239999999292,null,null
Fri May 29 07:00:00 UTC 2026,485.52965927839153,1260.7239999999292,-167.52600000007078,null,null,null,1667.7239999999292,1767.7239999999292,null,null
Fri May 29 08:00:00 UTC 2026,466.70473036197063,1475.7239999999292,-132.27600000007078,null,null,null,1722.7239999999292,1822.7239999999292,null,null
Fri May 29 09:00:00 UTC 2026,551.3045899077601,1216.7239999999292,-97.02600000007101,null,null,null,1777.7239999999292,1877.7239999999292,null,null
