date,P_Kweek_-22_Kday_0_ETE_66_ORD_65_EXT_84_E2Ekor_83_EXTkor_65_DIFF_25,a,b,c,d,e
Fri Apr 03 23:00:00 UTC 2026,1.60758,-943.4185500000021,74.67822419354616,null,null,374.67822419354627
Sat Apr 04 00:00:00 UTC 2026,1.60742,-943.4185500000021,17.48467580644956,null,null,317.48467580644945
Sat Apr 04 01:00:00 UTC 2026,1.60778,-943.4185500000021,-39.70887258064727,null,null,260.29112741935273
Sat Apr 04 02:00:00 UTC 2026,1.60681,-943.4185500000021,-96.90242096774409,null,null,203.0975790322559
Sat Apr 04 03:00:00 UTC 2026,1.60652,-943.4185500000021,-154.0959693548408,null,null,145.9040306451592
Sat Apr 04 04:00:00 UTC 2026,1.60615,-943.4185500000021,-211.28951774193763,null,null,88.71048225806237
Sat Apr 04 05:00:00 UTC 2026,1.60638,-943.4185500000021,-268.48306612903446,null,null,31.516933870965545
Sat Apr 04 06:00:00 UTC 2026,1.60566,-943.4185500000021,-325.67661451613117,null,null,-25.67661451613128
Sat Apr 04 07:00:00 UTC 2026,1.60589,-943.4185500000021,-382.870162903228,null,null,-82.87016290322799
Sat Apr 04 08:00:00 UTC 2026,1.60627,-943.4185500000021,-440.0637112903246,null,null,-140.0637112903246
Sat Apr 04 09:00:00 UTC 2026,1.60652,-943.4185500000021,-497.2572596774213,null,null,-197.25725967742142
Sat Apr 04 10:00:00 UTC 2026,1.60625,-943.4185500000021,-554.4508080645182,null,null,-254.45080806451824
Sat Apr 04 11:00:00 UTC 2026,1.60626,-943.4185500000021,-611.6443564516148,null,null,-311.64435645161495
Sat Apr 04 12:00:00 UTC 2026,1.60626,-943.4185500000021,-668.8379048387119,null,null,-368.8379048387119
Sat Apr 04 13:00:00 UTC 2026,1.60599,-943.4185500000021,-726.0314532258085,null,null,-426.0314532258086
Sat Apr 04 14:00:00 UTC 2026,1.60596,-943.4185500000021,-783.2250016129055,null,null,-483.22500161290543
Sat Apr 04 15:00:00 UTC 2026,1.60586,-943.4185500000021,-840.4185500000021,null,null,-540.4185500000021
Sat Apr 04 16:00:00 UTC 2026,1.60639,-943.4185500000021,-897.6120983870987,null,null,-597.6120983870989
Sat Apr 04 17:00:00 UTC 2026,1.60607,-943.4185500000021,-954.8056467741956,null,null,-654.8056467741957
Sat Apr 04 18:00:00 UTC 2026,1.60602,-943.4185500000021,-1011.9991951612924,null,null,-711.9991951612925
Sat Apr 04 19:00:00 UTC 2026,1.60602,-943.4185500000021,-1069.1927435483894,null,null,-769.1927435483894
Sat Apr 04 20:00:00 UTC 2026,1.60582,-943.4185500000021,-1126.386291935486,null,null,-826.3862919354862
Sat Apr 04 21:00:00 UTC 2026,1.60576,-943.4185500000021,-1183.579840322583,null,null,-883.5798403225828
Sat Apr 04 22:00:00 UTC 2026,1.60585,-943.4185500000021,-1240.7733887096797,null,null,-940.7733887096795
Sat Apr 04 23:00:00 UTC 2026,1.60609,-943.4185500000021,-1297.9669370967763,null,null,-997.9669370967763
Sun Apr 05 00:00:00 UTC 2026,1.60649,-943.4185500000021,-1355.160485483873,null,null,-1055.160485483873
Sun Apr 05 01:00:00 UTC 2026,1.60622,-943.4185500000021,-1412.35403387097,null,null,-1112.35403387097
Sun Apr 05 02:00:00 UTC 2026,1.60639,-943.4185500000021,-1469.5475822580665,null,null,-1169.5475822580665
Sun Apr 05 02:00:00 UTC 2026,1.60668,-943.4185500000021,-1526.7411306451636,null,null,-1226.7411306451636
Sun Apr 05 03:00:00 UTC 2026,1.60595,-943.4185500000021,-1583.9346790322602,null,null,-1283.9346790322602
Sun Apr 05 04:00:00 UTC 2026,1.60613,-943.4185500000021,-1641.1282274193572,null,null,-1341.1282274193572
Sun Apr 05 05:00:00 UTC 2026,1.60622,-943.4185500000021,-1698.3217758064538,null,null,-1398.3217758064538
Sun Apr 05 06:00:00 UTC 2026,1.60624,-943.4185500000021,-1755.5153241935504,null,null,-1455.5153241935504
Sun Apr 05 07:00:00 UTC 2026,1.60628,-943.4185500000021,-1812.7088725806473,null,null,-1512.7088725806473
Sun Apr 05 08:00:00 UTC 2026,1.60616,-943.4185500000021,-1869.9024209677439,null,null,-1569.9024209677439
Sun Apr 05 09:00:00 UTC 2026,1.60623,-943.4185500000021,-1927.0959693548405,null,null,-1627.0959693548407
Sun Apr 05 10:00:00 UTC 2026,1.60636,-943.4185500000021,-1984.2895177419377,null,null,-1684.2895177419377
Sun Apr 05 11:00:00 UTC 2026,1.60654,-943.4185500000021,-2041.4830661290343,null,null,-1741.4830661290346
Sun Apr 05 12:00:00 UTC 2026,1.60657,-943.4185500000021,-2098.676614516131,null,null,-1798.6766145161312
