date,P_Kweek_78_Kday_-20_ETE_64_ORD_67_EXT_82_E2Ekor_80_EXTkor_63_DIFF_26,a,b,c,d,e
Sun Apr 05 02:00:00 UTC 2026,0.56888,-1569.2806499999715,null,null,null,null
Sun Apr 05 03:00:00 UTC 2026,0.56822,-1569.2806499999715,null,null,null,null
Sun Apr 05 04:00:00 UTC 2026,0.56914,-1569.2806499999715,null,null,null,null
Sun Apr 05 05:00:00 UTC 2026,0.56949,-1569.2806499999715,null,null,null,null
Sun Apr 05 06:00:00 UTC 2026,0.56983,-1569.2806499999715,null,null,null,null
Sun Apr 05 07:00:00 UTC 2026,0.5701,-1569.2806499999715,null,null,null,null
Sun Apr 05 08:00:00 UTC 2026,0.56851,-1569.2806499999715,null,null,null,null
Sun Apr 05 09:00:00 UTC 2026,0.56831,-1569.2806499999715,null,null,null,null
Sun Apr 05 10:00:00 UTC 2026,0.56922,-1569.2806499999715,null,null,null,null
Sun Apr 05 11:00:00 UTC 2026,0.56887,-1569.2806499999715,null,null,null,null
Sun Apr 05 12:00:00 UTC 2026,0.56898,-1569.2806499999715,null,null,null,null
Sun Apr 05 13:00:00 UTC 2026,0.56852,-1569.2806499999715,null,null,null,null
Sun Apr 05 14:00:00 UTC 2026,0.56878,-1569.2806499999715,null,null,null,null
Sun Apr 05 15:00:00 UTC 2026,0.56904,-1569.2806499999715,null,null,null,null
Sun Apr 05 16:00:00 UTC 2026,0.56912,-1569.2806499999715,null,null,null,null
Sun Apr 05 17:00:00 UTC 2026,0.56849,-1569.2806499999715,null,null,null,null
Sun Apr 05 18:00:00 UTC 2026,0.56874,-1569.2806499999715,null,null,null,null
Sun Apr 05 19:00:00 UTC 2026,0.56884,-1569.2806499999715,null,null,null,null
Sun Apr 05 20:00:00 UTC 2026,0.56898,-1569.2806499999715,-1469.2806499999715,-1369.2806499999715,null,null
Sun Apr 05 21:00:00 UTC 2026,0.56914,-3084.2806499999715,-1955.2806499999715,-1855.2806499999715,null,null
Sun Apr 05 22:00:00 UTC 2026,0.56918,-3162.2806499999715,-2441.2806499999715,-2341.2806499999715,null,null
Sun Apr 05 23:00:00 UTC 2026,0.56918,-3027.2806499999715,-2927.2806499999715,-2827.2806499999715,null,null
Mon Apr 06 00:00:00 UTC 2026,0.56883,-2727.2806499999715,null,null,null,null
Mon Apr 06 01:00:00 UTC 2026,0.56865,-1909.2806499999715,-1809.2806499999715,null,-1609.2806499999715,null
Mon Apr 06 02:00:00 UTC 2026,0.56865,-1850.2806499999715,-1986.2806499999715,null,-1786.2806499999713,null
Mon Apr 06 03:00:00 UTC 2026,0.56894,-2309.2806499999715,-2163.2806499999715,null,-1963.2806499999713,null
Mon Apr 06 04:00:00 UTC 2026,0.56822,-2440.2806499999715,-2340.2806499999715,null,-2140.2806499999715,null
Mon Apr 06 05:00:00 UTC 2026,0.56862,-2173.2806499999715,null,null,null,null
Mon Apr 06 06:00:00 UTC 2026,0.56942,-1875.2806499999715,null,null,null,null
Mon Apr 06 07:00:00 UTC 2026,0.56935,-1864.2806499999715,null,null,null,null
Mon Apr 06 08:00:00 UTC 2026,0.56923,-2509.2806499999715,null,null,null,null
Mon Apr 06 09:00:00 UTC 2026,0.56893,-2324.2806499999715,null,null,null,null
Mon Apr 06 10:00:00 UTC 2026,0.5686,-2376.2806499999715,null,null,null,null
Mon Apr 06 11:00:00 UTC 2026,0.56942,-2499.2806499999715,null,null,null,null
Mon Apr 06 12:00:00 UTC 2026,0.56898,-2722.2806499999715,null,null,null,null
Mon Apr 06 13:00:00 UTC 2026,0.56898,-2397.2806499999715,null,null,null,null
Mon Apr 06 14:00:00 UTC 2026,-1543.2806499999715,null,-1443.2806499999715,null,null,null
Mon Apr 06 15:00:00 UTC 2026,-2400.2806499999715,null,-1660.7250944444158,null,null,null
Mon Apr 06 16:00:00 UTC 2026,-2077.2806499999715,null,-1878.1695388888604,null,null,null
Mon Apr 06 17:00:00 UTC 2026,-2262.2806499999715,null,-2095.6139833333045,null,null,null
Mon Apr 06 18:00:00 UTC 2026,-2056.2806499999715,null,-2313.0584277777493,null,null,null
Mon Apr 06 19:00:00 UTC 2026,-2342.2806499999715,null,-2530.5028722221937,null,null,null
Mon Apr 06 20:00:00 UTC 2026,-2861.2806499999715,null,-2747.947316666638,null,null,null
Mon Apr 06 21:00:00 UTC 2026,-3109.2806499999715,null,-2965.391761111083,null,null,null
Mon Apr 06 22:00:00 UTC 2026,-3478.2806499999715,null,-3182.8362055555267,null,null,null
Mon Apr 06 23:00:00 UTC 2026,-3500.2806499999715,null,-3400.2806499999715,null,null,null
Tue Apr 07 00:00:00 UTC 2026,-3359.2806499999715,null,null,null,null,null
Tue Apr 07 01:00:00 UTC 2026,-3415.2806499999715,null,null,null,null,null
Tue Apr 07 02:00:00 UTC 2026,-3326.2806499999715,null,null,null,null,null
Tue Apr 07 03:00:00 UTC 2026,-3288.2806499999715,null,null,null,null,null
Tue Apr 07 04:00:00 UTC 2026,-3281.2806499999715,null,null,null,null,null
Tue Apr 07 05:00:00 UTC 2026,-3273.2806499999715,null,null,null,null,null
Tue Apr 07 06:00:00 UTC 2026,-3386.2806499999715,null,null,null,null,null
Tue Apr 07 07:00:00 UTC 2026,-3019.2806499999715,null,null,null,null,null
Tue Apr 07 08:00:00 UTC 2026,-2984.2806499999715,null,null,null,null,null
Tue Apr 07 09:00:00 UTC 2026,-2843.2806499999715,null,-2743.2806499999715,-2643.2806499999715,null,null
Tue Apr 07 10:00:00 UTC 2026,-3277.2806499999715,null,-2919.113983333305,-2819.1139833333045,null,null
Tue Apr 07 11:00:00 UTC 2026,-3274.2806499999715,null,-3094.947316666638,-2994.947316666638,null,null
Tue Apr 07 12:00:00 UTC 2026,-3122.2806499999715,null,-3270.7806499999715,-3170.7806499999715,null,null
Tue Apr 07 13:00:00 UTC 2026,-3312.2806499999715,null,-3446.6139833333045,-3346.6139833333045,null,null
Tue Apr 07 14:00:00 UTC 2026,-3333.2806499999715,null,-3622.447316666638,-3522.4473166666385,null,null
Tue Apr 07 15:00:00 UTC 2026,-3898.2806499999715,null,-3798.2806499999715,-3698.2806499999715,null,null
Tue Apr 07 16:00:00 UTC 2026,-3684.2806499999715,null,null,null,null,null
Tue Apr 07 17:00:00 UTC 2026,-3629.2806499999715,null,null,null,null,null
Tue Apr 07 18:00:00 UTC 2026,-3486.2806499999715,null,null,null,null,null
Tue Apr 07 19:00:00 UTC 2026,-3487.2806499999715,null,null,null,null,null
Tue Apr 07 20:00:00 UTC 2026,-3312.2806499999715,null,-3212.2806499999715,null,null,null
Tue Apr 07 21:00:00 UTC 2026,-3530.2806499999715,null,-3274.1377928571146,null,null,null
Tue Apr 07 22:00:00 UTC 2026,-3875.2806499999715,null,-3335.9949357142573,null,null,null
Tue Apr 07 23:00:00 UTC 2026,-3728.2806499999715,null,-3397.8520785714,null,null,null
Wed Apr 08 00:00:00 UTC 2026,-3592.2806499999715,null,-3459.709221428543,null,null,null
Wed Apr 08 01:00:00 UTC 2026,-3319.2806499999715,null,-3521.5663642856857,null,null,null
Wed Apr 08 02:00:00 UTC 2026,-3543.2806499999715,null,-3583.4235071428284,null,null,null
Wed Apr 08 03:00:00 UTC 2026,-3573.2806499999715,null,-3645.2806499999715,null,null,null
Wed Apr 08 04:00:00 UTC 2026,-3732.2806499999715,null,-3707.1377928571146,null,null,null
Wed Apr 08 05:00:00 UTC 2026,-3479.2806499999715,null,-3768.9949357142573,null,null,null
Wed Apr 08 06:00:00 UTC 2026,-3674.2806499999715,null,-3830.8520785714,null,null,null
Wed Apr 08 07:00:00 UTC 2026,-3957.2806499999715,null,-3892.709221428543,null,null,null
Wed Apr 08 08:00:00 UTC 2026,-3583.2806499999715,null,-3954.5663642856857,null,null,null
Wed Apr 08 09:00:00 UTC 2026,-3868.2806499999715,null,-4016.423507142829,null,null,null
Wed Apr 08 10:00:00 UTC 2026,-4178.2806499999715,null,-4078.2806499999715,null,null,null
Wed Apr 08 11:00:00 UTC 2026,-3486.2806499999715,null,null,null,null,null
Wed Apr 08 12:00:00 UTC 2026,-3302.2806499999715,null,null,null,null,null
Wed Apr 08 13:00:00 UTC 2026,-3443.2806499999715,null,null,null,null,null
Wed Apr 08 14:00:00 UTC 2026,-3167.2806499999715,null,null,null,null,null
Wed Apr 08 15:00:00 UTC 2026,-2876.2806499999715,null,-2776.2806499999715,null,null,null
Wed Apr 08 16:00:00 UTC 2026,-3121.2806499999715,null,-2898.8806499999714,null,null,null
Wed Apr 08 17:00:00 UTC 2026,-3293.2806499999715,null,-3021.4806499999713,null,null,null
Wed Apr 08 18:00:00 UTC 2026,-3186.2806499999715,null,-3144.0806499999712,null,null,null
Wed Apr 08 19:00:00 UTC 2026,-3099.2806499999715,null,-3266.6806499999716,null,null,null
Wed Apr 08 20:00:00 UTC 2026,-3236.2806499999715,null,-3389.2806499999715,null,null,null
Wed Apr 08 21:00:00 UTC 2026,-3545.2806499999715,null,-3511.8806499999714,null,null,null
Wed Apr 08 22:00:00 UTC 2026,-3616.2806499999715,null,-3634.4806499999713,null,null,null
Wed Apr 08 23:00:00 UTC 2026,-3678.2806499999715,null,-3757.0806499999717,null,null,null
Thu Apr 09 00:00:00 UTC 2026,-3670.2806499999715,null,-3879.6806499999716,null,null,null
