date,P_Kweek_72_Kday_91_ETE_70_ORD_70_EXT_85_E2Ekor_83_EXTkor_71_DIFF_26,a,b,c,d,e
Wed Apr 01 11:00:00 UTC 2026,0.80015,207.75667999999132,null,null,null,null
Wed Apr 01 12:00:00 UTC 2026,0.79972,266.7566799999913,null,null,null,null
Wed Apr 01 13:00:00 UTC 2026,0.79856,-278.2433200000087,null,null,null,null
Wed Apr 01 14:00:00 UTC 2026,0.79779,-715.2433200000087,null,null,null,null
Wed Apr 01 15:00:00 UTC 2026,0.79737,-969.2433200000087,null,null,null,null
Wed Apr 01 16:00:00 UTC 2026,0.79802,-405.2433200000087,null,null,null,null
Wed Apr 01 17:00:00 UTC 2026,0.79866,-457.2433200000087,null,null,null,null
Wed Apr 01 18:00:00 UTC 2026,0.80163,603.7566799999913,null,null,null,null
Wed Apr 01 19:00:00 UTC 2026,0.80006,94.75667999999132,null,null,null,null
Wed Apr 01 20:00:00 UTC 2026,0.80073,270.7566799999913,null,null,null,null
Wed Apr 01 21:00:00 UTC 2026,0.80089,-565.2433200000087,null,null,null,null
Wed Apr 01 22:00:00 UTC 2026,0.80145,-417.2433200000087,-317.2433200000087,null,-117.24332000000868,null
Wed Apr 01 23:00:00 UTC 2026,0.80212,230.75667999999132,-89.99332000000868,null,110.00667999999132,null
Thu Apr 02 00:00:00 UTC 2026,0.80061,-401.2433200000087,137.25667999999132,null,337.2566799999913,null
Thu Apr 02 01:00:00 UTC 2026,0.80109,313.7566799999913,364.5066799999913,null,564.5066799999913,null
Thu Apr 02 02:00:00 UTC 2026,0.80099,491.7566799999913,591.7566799999913,null,791.7566799999913,null
Thu Apr 02 03:00:00 UTC 2026,0.80064,282.7566799999913,null,null,null,null
Thu Apr 02 04:00:00 UTC 2026,0.80092,513.7566799999913,null,null,null,null
Thu Apr 02 05:00:00 UTC 2026,0.79979,201.75667999999132,null,null,null,null
Thu Apr 02 06:00:00 UTC 2026,0.79828,-200.24332000000868,null,null,null,null
Thu Apr 02 07:00:00 UTC 2026,0.79844,-168.24332000000868,null,null,null,null
Thu Apr 02 08:00:00 UTC 2026,0.79825,-589.2433200000087,null,null,null,null
Thu Apr 02 09:00:00 UTC 2026,0.79797,-1021.2433200000087,null,null,null,null
Thu Apr 02 10:00:00 UTC 2026,0.7981,-827.2433200000087,null,null,null,null
Thu Apr 02 11:00:00 UTC 2026,0.79784,-871.2433200000087,null,null,null,null
Thu Apr 02 12:00:00 UTC 2026,0.79848,-792.2433200000087,null,null,null,null
Thu Apr 02 13:00:00 UTC 2026,0.79492,-2283.2433200000087,null,null,null,null
Thu Apr 02 14:00:00 UTC 2026,0.79505,-2640.2433200000087,null,null,null,null
Thu Apr 02 15:00:00 UTC 2026,0.79479,-2179.2433200000087,null,null,null,null
Thu Apr 02 16:00:00 UTC 2026,0.79435,-2819.2433200000087,-2719.2433200000087,null,null,null
Thu Apr 02 17:00:00 UTC 2026,0.79383,-2333.2433200000087,-2692.56590064517,null,null,null
Thu Apr 02 18:00:00 UTC 2026,0.79477,-2337.2433200000087,-2665.8884812903307,null,null,null
Thu Apr 02 19:00:00 UTC 2026,0.7952,-2050.2433200000087,-2639.2110619354926,null,null,null
Thu Apr 02 20:00:00 UTC 2026,0.79498,-2274.2433200000087,-2612.533642580654,null,null,null
Thu Apr 02 21:00:00 UTC 2026,0.7954,-3130.2433200000087,-2585.8562232258155,null,null,null
Thu Apr 02 22:00:00 UTC 2026,0.79463,-2996.2433200000087,-2559.178803870976,null,null,null
Thu Apr 02 23:00:00 UTC 2026,-2937.2433200000087,null,-2532.5013845161375,null,null,null
Fri Apr 03 00:00:00 UTC 2026,-2802.2433200000087,null,-2505.823965161299,null,null,null
Fri Apr 03 01:00:00 UTC 2026,-2918.2433200000087,null,-2479.1465458064604,null,null,null
Fri Apr 03 02:00:00 UTC 2026,-2697.2433200000087,null,-2452.4691264516214,null,null,null
Fri Apr 03 03:00:00 UTC 2026,-2506.2433200000087,null,-2425.791707096783,null,null,null
Fri Apr 03 04:00:00 UTC 2026,-2256.2433200000087,null,-2399.1142877419443,null,null,null
Fri Apr 03 05:00:00 UTC 2026,-2237.2433200000087,null,-2372.4368683871057,null,null,null
Fri Apr 03 06:00:00 UTC 2026,-2173.2433200000087,null,-2345.7594490322667,null,null,null
Fri Apr 03 07:00:00 UTC 2026,-2234.2433200000087,null,-2319.082029677428,null,null,null
Fri Apr 03 08:00:00 UTC 2026,-2075.2433200000087,null,-2292.404610322589,null,null,null
Fri Apr 03 09:00:00 UTC 2026,-2404.2433200000087,null,-2265.7271909677506,null,null,null
Fri Apr 03 10:00:00 UTC 2026,-1978.2433200000087,null,-2239.049771612912,null,null,null
