date,P_Kweek_51_Kday_56_ETE_62_ORD_61_EXT_73_E2Ekor_74_EXTkor_61_DIFF_27,a,b,c,d,e
Thu Apr 02 01:00:00 UTC 2026,0.57079,-1080.0197599999956,-1192.3727011764663,null,null,null
Thu Apr 02 02:00:00 UTC 2026,0.5708,-1181.0197599999956,-1046.7256423529366,null,null,null
Thu Apr 02 03:00:00 UTC 2026,0.57167,-919.0197599999956,-901.0785835294073,null,null,null
Thu Apr 02 04:00:00 UTC 2026,0.57107,-1313.0197599999956,-755.4315247058778,null,null,null
Thu Apr 02 05:00:00 UTC 2026,0.57135,-1172.0197599999956,-609.7844658823486,null,null,null
Thu Apr 02 06:00:00 UTC 2026,0.57193,-711.0197599999956,-464.1374070588191,null,null,null
Thu Apr 02 07:00:00 UTC 2026,0.57238,-494.0197599999956,-318.49034823528973,null,null,null
Thu Apr 02 08:00:00 UTC 2026,0.57248,-844.0197599999956,-172.84328941176022,null,null,null
Thu Apr 02 09:00:00 UTC 2026,0.57232,-551.0197599999956,-27.196230588230947,null,null,null
Thu Apr 02 10:00:00 UTC 2026,0.57229,-659.0197599999956,118.45082823529856,null,null,null
Thu Apr 02 11:00:00 UTC 2026,0.57218,-633.0197599999956,264.09788705882795,null,null,null
Thu Apr 02 12:00:00 UTC 2026,0.57179,-445.0197599999956,409.74494588235746,null,null,null
Thu Apr 02 13:00:00 UTC 2026,0.57334,-51.019759999995586,555.3920047058866,null,null,null
Thu Apr 02 14:00:00 UTC 2026,0.57358,602.9802400000044,701.0390635294161,null,null,null
Thu Apr 02 15:00:00 UTC 2026,0.57381,12.980240000004414,846.6861223529456,null,null,null
Thu Apr 02 16:00:00 UTC 2026,0.57408,524.9802400000044,992.333181176475,null,null,null
Thu Apr 02 17:00:00 UTC 2026,0.57445,1037.9802400000044,1137.9802400000044,null,null,null
Thu Apr 02 18:00:00 UTC 2026,0.57401,151.98024000000441,null,null,null,null
Thu Apr 02 19:00:00 UTC 2026,0.57432,234.98024000000441,null,null,null,null
Thu Apr 02 20:00:00 UTC 2026,0.57442,393.9802400000044,null,null,null,null
Thu Apr 02 21:00:00 UTC 2026,0.5746,36.980240000004414,null,null,null,null
Thu Apr 02 22:00:00 UTC 2026,0.57482,-54.019759999995586,null,null,null,null
Thu Apr 02 23:00:00 UTC 2026,0.57472,408.9802400000044,null,null,null,null
Fri Apr 03 00:00:00 UTC 2026,0.57421,92.98024000000441,null,null,null,null
Fri Apr 03 01:00:00 UTC 2026,0.57463,105.98024000000441,null,null,null,null
Fri Apr 03 02:00:00 UTC 2026,0.5738,-218.01975999999559,null,null,null,null
Fri Apr 03 03:00:00 UTC 2026,0.5738,-365.0197599999956,-265.0197599999956,null,null,null
Fri Apr 03 04:00:00 UTC 2026,0.574,-243.01975999999559,-207.09118857142417,null,null,null
Fri Apr 03 05:00:00 UTC 2026,0.57406,-55.019759999995586,-149.16261714285272,null,null,null
Fri Apr 03 06:00:00 UTC 2026,0.57404,-47.019759999995586,-91.23404571428131,null,null,null
Fri Apr 03 07:00:00 UTC 2026,0.57397,-65.01975999999559,-33.30547428570989,null,null,null
Fri Apr 03 08:00:00 UTC 2026,0.57385,-263.0197599999956,24.623097142861553,null,null,null
Fri Apr 03 09:00:00 UTC 2026,0.57367,-496.0197599999956,82.55166857143297,null,null,null
Fri Apr 03 10:00:00 UTC 2026,0.57393,-291.0197599999956,140.48024000000441,null,null,null
Fri Apr 03 11:00:00 UTC 2026,0.57388,-284.0197599999956,198.4088114285758,null,null,null
Fri Apr 03 12:00:00 UTC 2026,-47.019759999995586,null,256.3373828571473,null,null,null
