USDCHF,buy,0.0,0.04,open,1773036000000,1773129600000,1772494361986
USDJPY,buy,0.0,0.05,open,1772694000000,1773039600000,1772495042898
NZDCHF,sell,0.0,0.12,open,1772798400000,1773180000000,1772554939966
CHFJPY,sell,0.0,0.15,open,1773111600000,1773266400000,1772644007100
NZDUSD,sell,0.0,0.12,open,1772816400000,1773097200000,1772653460399
EURCHF,sell,0.0,0.08,open,1772654400000,1773133200000,1772668551558
EURNZD,sell,0.0,0.12,open,1772697600000,1773147600000,1772706410083
USDCAD,buy,0.0,0.16,open,1772701200000,1773140400000,1772713306843
EURCAD,sell,0.0,0.12,open,1772733600000,1773154800000,1772752208999
CADCHF,buy,0.09,0.03,open,1774908000000,1774940400000,1774915037731
EURUSD,buy,0.0,0.12,open,1772791200000,1773054000000,1772785574127
GBPCHF,sell,0.0,0.12,open,1772784000000,1773007200000,1772787225250
GBPJPY,buy,0.0,0.12,open,1772758800000,1773090000000,1772787757629
EURGBP,sell,0.0,0.12,open,1773208800000,1773313200000,1772800461979
GBPCAD,sell,0.0,0.12,open,1773115200000,1773223200000,1772803159316
NZDCAD,sell,0.0,0.08,open,1772805600000,1773007200000,1772806033923
EURJPY,sell,0.0,0.2,open,1773604800000,1773716400000,1772817389471
CADJPY,sell,0.00,0.10,open,1774922400000,1774940400000,1774916847431
EURAUD,sell,0.0,0.08,open,1772463600000,1773061200000,1772976464353
GBPAUD,buy,0.0,0.08,open,1772766000000,1773039600000,1772981884907
GBPNZD,sell,0.0,0.12,open,1771977600000,1773604800000,1772985022230
GBPUSD,buy,0.0,0.12,open,1772794800000,1773075600000,1772985842876
NZDJPY,buy,0.0,0.08,open,1772755200000,1773064800000,1772988156449
AUDCAD,buy,0.00,0.01,open,1259654400000,1776600000000,1774793854100
AUDCHF,buy,0.09,0.06,open,1774908000000,1774936800000,1774908277728
AUDUSD,buy,0.07,0.03,open,1774965600000,1775646000000,1774912846197
AUDJPY,sell,0.00,0.01,open,1775106000000,1775167200000,1774909849814
AUDNZD,sell,0.04,0.03,open,1775034000000,1775192400000,1774911274840
