date,P_Kweek_64_Kday_-55_ETE_67_ORD_66_EXT_80_E2Ekor_81_EXTkor_67_DIFF_26,a,b,c,d,e
Sat Apr 11 23:00:00 UTC 2026,-35.324612857153966,-469.49747000000207,null,null,null,null
Sun Apr 12 00:00:00 UTC 2026,-37.55604142857237,-469.49747000000207,null,null,null,null
Sun Apr 12 01:00:00 UTC 2026,-37.55604142857237,-469.49747000000207,null,null,null,null
Sun Apr 12 02:00:00 UTC 2026,-37.55604142857237,-469.49747000000207,null,null,null,null
Sun Apr 12 03:00:00 UTC 2026,-39.787470000015446,-469.49747000000207,null,null,null,null
Sun Apr 12 04:00:00 UTC 2026,-29.746041428595504,-469.49747000000207,null,null,null,null
Sun Apr 12 05:00:00 UTC 2026,-69.91175571429983,-469.49747000000207,null,null,null,null
Sun Apr 12 06:00:00 UTC 2026,-48.71318428571374,-469.49747000000207,null,null,null,null
Sun Apr 12 07:00:00 UTC 2026,-33.09318428573545,-469.49747000000207,null,null,null,null
Sun Apr 12 08:00:00 UTC 2026,-60.986041428576755,-469.49747000000207,null,null,null,null
Sun Apr 12 09:00:00 UTC 2026,-34.208898571432314,-469.49747000000207,null,null,null,null
Sun Apr 12 10:00:00 UTC 2026,-33.09318428573545,-469.49747000000207,null,null,null,null
Sun Apr 12 11:00:00 UTC 2026,-25.283184285734023,-469.49747000000207,null,null,null,null
Sun Apr 12 12:00:00 UTC 2026,-29.746041428595504,-469.49747000000207,null,null,null,null
Sun Apr 12 13:00:00 UTC 2026,-37.55604142857237,-469.49747000000207,null,null,null,null
Sun Apr 12 14:00:00 UTC 2026,-27.51461285715243,-469.49747000000207,null,null,null,null
Sun Apr 12 15:00:00 UTC 2026,-28.630327142873966,-469.49747000000207,null,null,null,null
Sun Apr 12 16:00:00 UTC 2026,-21.93604142859408,-469.49747000000207,null,null,null,null
Sun Apr 12 17:00:00 UTC 2026,-27.51461285715243,-469.49747000000207,null,null,null,null
Sun Apr 12 18:00:00 UTC 2026,-33.09318428573545,-469.49747000000207,null,null,null,null
Sun Apr 12 19:00:00 UTC 2026,-25.283184285734023,-469.49747000000207,null,null,null,null
Sun Apr 12 20:00:00 UTC 2026,-27.51461285715243,-469.49747000000207,null,null,null,null
Sun Apr 12 21:00:00 UTC 2026,-27.51461285715243,-310.49747000000207,null,null,null,null
Sun Apr 12 22:00:00 UTC 2026,-20.82032714287243,-338.49747000000207,null,null,null,null
