date,P_Kweek_86_Kday_37_ETE_71_ORD_71_EXT_86_E2Ekor_85_EXTkor_70_DIFF_24,a,b,c,d,e
Wed Mar 25 10:00:00 UTC 2026,212.9373,500.1050000000105,null,null,null,null
Wed Mar 25 11:00:00 UTC 2026,212.93128,392.1050000000105,null,null,null,null
Wed Mar 25 12:00:00 UTC 2026,213.08935,497.1050000000105,null,null,null,null
Wed Mar 25 13:00:00 UTC 2026,212.95526,404.1050000000105,null,null,null,null
Wed Mar 25 14:00:00 UTC 2026,212.865,688.1050000000105,null,null,null,null
Wed Mar 25 15:00:00 UTC 2026,212.77931,503.1050000000105,null,null,null,null
Wed Mar 25 16:00:00 UTC 2026,212.79079,171.10500000001048,null,null,null,null
Wed Mar 25 17:00:00 UTC 2026,212.69028,-42.89499999998952,null,null,null,null
Wed Mar 25 18:00:00 UTC 2026,212.82036,639.1050000000105,null,null,null,null
Wed Mar 25 19:00:00 UTC 2026,213.08609,1099.1050000000105,null,null,null,null
Wed Mar 25 20:00:00 UTC 2026,212.8916,1286.1050000000105,null,null,null,null
Wed Mar 25 21:00:00 UTC 2026,212.88564,936.1050000000105,null,null,null,null
Wed Mar 25 22:00:00 UTC 2026,213.0779,871.1050000000105,null,null,null,null
Wed Mar 25 23:00:00 UTC 2026,213.10705,769.1050000000105,null,null,null,null
Thu Mar 26 00:00:00 UTC 2026,213.00225,751.1050000000105,null,null,null,null
Thu Mar 26 01:00:00 UTC 2026,212.80128,642.1050000000105,null,null,null,null
Thu Mar 26 02:00:00 UTC 2026,212.91235,1193.1050000000105,null,null,null,null
Thu Mar 26 03:00:00 UTC 2026,212.92341,1279.1050000000105,null,null,null,null
Thu Mar 26 04:00:00 UTC 2026,213.0788,1195.1050000000105,null,null,null,null
Thu Mar 26 05:00:00 UTC 2026,213.15908,1177.1050000000105,null,null,null,null
Thu Mar 26 06:00:00 UTC 2026,213.08705,1079.1050000000105,null,null,null,null
Thu Mar 26 07:00:00 UTC 2026,213.15726,1081.1050000000105,null,null,null,null
Thu Mar 26 08:00:00 UTC 2026,213.13938,1203.1050000000105,null,null,null,null
Thu Mar 26 09:00:00 UTC 2026,213.06018,1213.1050000000105,null,null,null,null
Thu Mar 26 10:00:00 UTC 2026,213.0162,814.1050000000105,null,null,null,null
Thu Mar 26 11:00:00 UTC 2026,213.00462,492.1050000000105,null,null,null,null
Thu Mar 26 12:00:00 UTC 2026,213.0298,398.1050000000105,null,null,null,null
Thu Mar 26 13:00:00 UTC 2026,213.08549,420.1050000000105,null,null,null,null
Thu Mar 26 14:00:00 UTC 2026,212.98592,472.1050000000105,null,null,null,null
Thu Mar 26 15:00:00 UTC 2026,213.11956,845.1050000000105,null,null,null,null
Thu Mar 26 16:00:00 UTC 2026,213.09993,335.1050000000105,null,null,null,null
Thu Mar 26 17:00:00 UTC 2026,213.01126,429.1050000000105,null,null,null,null
Thu Mar 26 18:00:00 UTC 2026,212.92835,79.10500000001048,null,null,null,null
Thu Mar 26 19:00:00 UTC 2026,212.95051,302.1050000000105,null,null,null,null
Thu Mar 26 20:00:00 UTC 2026,212.92233,182.10500000001048,null,null,null,null
