date,P_Kweek_9_Kday_0_ETE_72_ORD_72_EXT_88_E2Ekor_87_EXTkor_73_DIFF_24,a,b,c,d,e
Sun Mar 01 21:00:00 UTC 2026,0.4623,-1491.5376999999862,null,null,null,null
Sun Mar 01 22:00:00 UTC 2026,0.4623,-3641.537699999986,null,null,null,null
Sun Mar 01 23:00:00 UTC 2026,0.4623,-2866.537699999986,null,null,null,null
Mon Mar 02 00:00:00 UTC 2026,0.4623,-2021.5376999999862,null,null,null,null
Mon Mar 02 01:00:00 UTC 2026,0.4623,-1619.5376999999862,null,null,null,null
Mon Mar 02 02:00:00 UTC 2026,0.4623,-1116.5376999999862,null,null,null,null
Mon Mar 02 03:00:00 UTC 2026,0.4623,-642.5376999999862,null,null,null,null
Mon Mar 02 04:00:00 UTC 2026,0.4623,-1026.5376999999862,null,null,null,null
Mon Mar 02 05:00:00 UTC 2026,0.4623,-887.5376999999862,null,null,null,null
Mon Mar 02 06:00:00 UTC 2026,0.4623,-1026.5376999999862,null,null,null,null
Mon Mar 02 07:00:00 UTC 2026,0.4623,-514.5376999999862,null,null,null,null
Mon Mar 02 08:00:00 UTC 2026,0.4623,-399.5376999999862,null,null,null,null
Mon Mar 02 09:00:00 UTC 2026,0.4623,-720.5376999999862,null,null,null,null
